Index,BPI,teamrankings,scheduled,abbr team,abbr,class
1,AIR FORCE,Air Force,Air Force Falcons,Air Force,AFA,DIVISION 1  FBS
2,AKRON,Akron,Akron Zips,Akron,AKRON,DIVISION 1  FBS
3,ALABAMA,Alabama,Alabama Crimson Tide,Alabama,ALA,DIVISION 1  FBS
4,ALABAMA-BIRMINGHAM,UAB,UAB Blazers,ALABAMA-BIRMINGHAM,UAB,DIVISION 1  FBS
5,APPALACHIAN STATE,App State,Appalachian State Mountaineers,Appalachian State,APP,DIVISION 1  FBS
6,ARIZONA,Arizona,Arizona Wildcats,Arizona,ARIZ,DIVISION 1  FBS
7,ARIZONA STATE,Arizona St,Arizona State Sun Devils,Arizona State,ASU,DIVISION 1  FBS
8,ARKANSAS,Arkansas,Arkansas Razorbacks,Arkansas,ARK,DIVISION 1  FBS
9,ARKANSAS STATE,Arkansas St,Arkansas State Red Wolves,Arkansas State,ARST,DIVISION 1  FBS
10,ARMY,Army,Army Black Knights,Army,ARMY,DIVISION 1  FBS
11,AUBURN,Auburn,Auburn Tigers,Auburn,AUB,DIVISION 1  FBS
12,BALL STATE,Ball State,Ball State Cardinals,Ball State,BALL,DIVISION 1  FBS
13,BAYLOR,Baylor,Baylor Bears,Baylor,BAY,DIVISION 1  FBS
14,BOISE,Boise State,Boise State Broncos,Boise State,BSU,DIVISION 1  FBS
15,BOSTON COLLEGE,Boston Col,Boston College Eagles,Boston College,BC,DIVISION 1  FBS
16,BOWLING GREEN,Bowling Grn,Bowling Green Falcons,Bowling Green,BGSU,DIVISION 1  FBS
17,BRIGHAM YOUNG,BYU,BYU Cougars,BYU,BYU,DIVISION 1  FBS
18,BUFFALO,Buffalo,Buffalo Bulls,Buffalo,BUFF,DIVISION 1  FBS
19,CALIFORNIA,California,California Golden Bears,Cal,CAL,DIVISION 1  FBS
20,CENTRAL FLORIDA,Central FL,UCF Knights,UCF,UCF,DIVISION 1  FBS
21,CENTRAL MICHIGAN,Central Mich,Central Michigan Chippewas,Central Michigan,CMU,DIVISION 1  FBS
22,CINCINNATI,Cincinnati,Cincinnati Bearcats,Cincinnati,CIN,DIVISION 1  FBS
23,CLEMSON,Clemson,Clemson Tigers,Clemson,CLEM,DIVISION 1  FBS
24,COASTAL CAROLINA,Coastal Car,Coastal Carolina Chanticleers,Coastal Carolina,CCU,DIVISION 1  FBS
25,COLORADO,Colorado,Colorado Buffaloes,Colorado,COLO,DIVISION 1  FBS
26,COLORADO STATE,Colorado St,Colorado State Rams,Colorado State,CSU,DIVISION 1  FBS
27,CONNECTICUT,Connecticut,UConn Huskies,UConn,CONN,DIVISION 1  FBS
28,DUKE,Duke,Duke Blue Devils,Duke,DUKE,DIVISION 1  FBS
29,EAST CAROLINA,E Carolina,East Carolina Pirates,ECU,ECU,DIVISION 1  FBS
30,EASTERN MICHIGAN,E Michigan,Eastern Michigan Eagles,Eastern Michigan,EMU,DIVISION 1  FBS
31,FLORIDA,Florida,Florida Gators,Florida,FLA,DIVISION 1  FBS
32,FLORIDA ATLANTIC,Fla Atlantic,Florida Atlantic Owls,FAU,FAU,DIVISION 1  FBS
33,FLORIDA INTERNATIONAL,Florida Intl,Florida International Panthers,FIU,FIU,DIVISION 1  FBS
34,FLORIDA STATE,Florida St,Florida State Seminoles,Florida State,FSU,DIVISION 1  FBS
35,FRESNO STATE,Fresno St,Fresno State Bulldogs,Fresno State,FRES,DIVISION 1  FBS
36,GEORGIA,Georgia,Georgia Bulldogs,Georgia,UGA,DIVISION 1  FBS
37,GEORGIA SOUTHERN,GA Southern,Georgia Southern Eagles,Georgia Southern,GASO,DIVISION 1  FBS
38,GEORGIA STATE,Georgia State,Georgia State Panthers,Georgia State,GAST,DIVISION 1  FBS
39,GEORGIA TECH,GA Tech,Georgia Tech Yellow Jackets,Georgia Tech,GT,DIVISION 1  FBS
40,HAWAII,Hawaii,Hawaii Rainbow Warriors,Hawaii,HAW,DIVISION 1  FBS
41,HOUSTON,Houston,Houston Cougars,Houston,HOU,DIVISION 1  FBS
42,ILLINOIS,Illinois,Illinois Fighting Illini,Illinois,ILL,DIVISION 1  FBS
43,INDIANA,Indiana,Indiana Hoosiers,Indiana,IND,DIVISION 1  FBS
44,IOWA,Iowa,Iowa Hawkeyes,Iowa,IOWA,DIVISION 1  FBS
45,IOWA STATE,Iowa State,Iowa State Cyclones,Iowa State,ISU,DIVISION 1  FBS
46,KANSAS,Kansas,Kansas Jayhawks,Kansas,KU,DIVISION 1  FBS
47,KANSAS STATE,Kansas St,Kansas State Wildcats,Kansas State,KSU,DIVISION 1  FBS
48,KENT STATE,Kent State,Kent State Golden Flashes,Kent State,KENT,DIVISION 1  FBS
49,KENTUCKY,Kentucky,Kentucky Wildcats,Kentucky,UK,DIVISION 1  FBS
50,LA-LAFAYETTE,LA Lafayette,Louisiana Ragin Cajuns,Louisiana Lafayette,UL,DIVISION 1  FBS
51,LA-MONROE,LA Monroe,UL Monroe Warhawks,Louisiana Monroe,ULM,DIVISION 1  FBS
52,LIBERTY,Liberty,Liberty Flames,Liberty,LIB,DIVISION 1  FBS
53,LOUISIANA STATE,LSU,LSU Tigers,LSU,LSU,DIVISION 1  FBS
54,LOUISIANA TECH,LA Tech,Louisiana Tech Bulldogs,Louisiana Tech,LAT,DIVISION 1  FBS
55,LOUISVILLE,Louisville,Louisville Cardinals,Louisville,LOU,DIVISION 1  FBS
56,MARSHALL,Marshall,Marshall Thundering Herd,Marshall,MRSH,DIVISION 1  FBS
57,MARYLAND,Maryland,Maryland Terrapins,Maryland,MD,DIVISION 1  FBS
58,MASSACHUSETTS,U Mass,UMass Minutemen,UMass,MASS,DIVISION 1  FBS
59,MEMPHIS,Memphis,Memphis Tigers,Memphis,MEM,DIVISION 1  FBS
60,MIAMI OF OHIO,Miami (OH),Miami (OH) RedHawks,Miami (OH),M-OH,DIVISION 1  FBS
61,MIAMI-FL,Miami (FL),Miami Hurricanes,Miami (FL),MIA,DIVISION 1  FBS
62,MICHIGAN,Michigan,Michigan Wolverines,Michigan,MICH,DIVISION 1  FBS
63,MICHIGAN STATE,Michigan St,Michigan State Spartans,Michigan State,MSU,DIVISION 1  FBS
64,MIDDLE TENNESSEE STATE,Middle Tenn,Middle Tennessee Blue Raiders,Middle Tennessee,MTSU,DIVISION 1  FBS
65,MINNESOTA,Minnesota,Minnesota Golden Gophers,Minnesota,MINN,DIVISION 1  FBS
66,MISSISSIPPI,Mississippi,Ole Miss Rebels,Ole Miss,MISS,DIVISION 1  FBS
67,MISSISSIPPI STATE,Miss State,Mississippi State Bulldogs,Mississippi State,MSST,DIVISION 1  FBS
68,MISSOURI,Missouri,Missouri Tigers,Missouri,MIZ,DIVISION 1  FBS
69,NAVY,Navy,Navy Midshipmen,Navy,NAVY,DIVISION 1  FBS
70,NEBRASKA,Nebraska,Nebraska Cornhuskers,Nebraska,NEB,DIVISION 1  FBS
71,NEVADA,Nevada,Nevada Wolf Pack,Nevada,NEV,DIVISION 1  FBS
72,NEVADA-LAS VEGAS,UNLV,UNLV Rebels,UNLV,UNLV,DIVISION 1  FBS
73,NEW MEXICO,New Mexico,New Mexico Lobos,New Mexico,UNM,DIVISION 1  FBS
