scheduled team,match ratio,stats team,corrected stats team
Abilene Christian Wildcats,79,ABILENE CHRISTIAN,
Air Force Falcons,69,AIR FORCE,
Alabama Crimson Tide,67,ALABAMA STATE,Alabama 
Appalachian State Mountaineers,72,APPALACHIAN STATE,
Arizona State Sun Devils,70,ARIZONA STATE,
Arizona Wildcats,69,ARIZONA STATE,ARIZONA
Arkansas Razorbacks,62,ARKANSAS TECH,ARKANSAS
Arkansas State Red Wolves,72,ARKANSAS STATE,
Army Black Knights,46,ALBRIGHT,ARMY
Auburn Tigers,63,AUBURN,
Austin Peay Governors,69,AUSTIN PEAY,
BYU Cougars,48,BRYANT COLLEGE,BRIGHAM YOUNG
Baylor Bears,67,BAYLOR,
Boise State Broncos,67,BOWIE STATE,BOISE
Boston College Eagles,80,BOSTON COLLEGE,
California Golden Bears,67,CALIFORNIA LUTHERAN,CALIFORNIA
Campbell Fighting Camels,53,CAMPBELLSVILLE,
Central Arkansas Bears,84,CENTRAL ARKANSAS,
Charlotte 49ers,60,UNC - CHARLOTTE,
Chattanooga Mocs,70,CHATTANOOGA-TENNESSEE,
Cincinnati Bearcats,69,CINCINNATI,
Clemson Tigers,67,CLEMSON,
Coastal Carolina Chanticleers,71,COASTAL CAROLINA,
Colorado Buffaloes,69,COLORADO MINES,COLORADO
Colorado State Rams,85,COLORADO STATE,
Duke Blue Devils,52,BUENA VISTA,DUKE
East Carolina Pirates,76,EAST CAROLINA,
Eastern Kentucky Colonels,78,EASTERN KENTUCKY,
Florida Atlantic Owls,86,FLORIDA ATLANTIC,
Florida Gators,74,FLORIDA STATE,FLORIDA
Florida International Panthers,82,FLORIDA INTERNATIONAL,
Florida State Seminoles,72,FLORIDA STATE,
Fresno State Bulldogs,73,FRESNO STATE,
Georgia Bulldogs,62,GEORGIA STATE,GEORGIA
Georgia Southern Eagles,82,GEORGIA SOUTHERN,
Georgia State Panthers,74,GEORGIA STATE,
Georgia Tech Yellow Jackets,62,GEORGIA TECH,
Hawaii Rainbow Warriors,49,HARDIN-SIMMONS,HAWAII
Houston Baptist Huskies,79,HOUSTON BAPTIST,
Houston Cougars,67,HOUSTON BAPTIST,HOUSTON
Illinois Fighting Illini,55,ILLINOIS COLLEGE,ILLINOIS
Indiana Hoosiers,71,INDIANAPOLIS,INDIANA
Iowa Hawkeyes,62,IOWA-WESLEYAN,IOWA
Iowa State Cyclones,69,IOWA STATE,
Jacksonville State Gamecocks,78,JACKSONVILLE STATE,
Kansas Jayhawks,60,KANSAS WESLEYAN,KANSAS
Kansas State Wildcats,73,KANSAS STATE,
Kentucky Wildcats,71,KENTUCKY STATE,KENTUCKY
LSU Tigers,71,RUTGERS,LOUISIANA STATE
Liberty Flames,67,LIBERTY,
Louisiana Ragin Cajuns,61,LOUISIANA TECH,LA-LAFAYETTE
Louisiana Tech Bulldogs,76,LOUISIANA TECH,
Louisville Cardinals,67,LOUISVILLE,
Marshall Thundering Herd,50,MARSHALL,
Maryland Terrapins,67,WAYLAND BAPTIST,MARYLAND
Memphis Tigers,67,MEMPHIS,
Mercer Bears,67,MERCER,
Miami Hurricanes,56,MACMURRAY,MIAMI-FL
Michigan State Spartans,76,MICHIGAN STATE,
Michigan Wolverines,62,MICHIGAN TECH,MICHIGAN
Middle Tennessee Blue Raiders,75,MIDDLE TENNESSEE STATE,
Minnesota Golden Gophers,55,MINNESOTA,
Mississippi State Bulldogs,79,MISSISSIPPI STATE,
Missouri State Bears,82,MISSOURI STATE,
Missouri Tigers,77,MISSOURI BAPTIST,MISSOURI
NC State Wolfpack,57,WESTERN STATE-COLO.,NO. CAROLINA STATE
Navy Midshipmen,53,SUNY - MARITIME,NAVY
Nebraska Cornhuskers,67,NEBRASKA KEARNEY,NEBRASKA
Nevada Wolf Pack,62,NEVADA-LAS VEGAS,NEVADA
New Mexico Lobos,77,NEW MEXICO,
North Alabama Lions,81,NORTH ALABAMA,
North Carolina Tar Heels,81,NORTH CAROLINA A&T,NORTH CAROLINA
North Texas Mean Green,67,NORTH TEXAS,
Northwestern Wildcats,79,NORTHWESTERN-IOWA,NORTHWESTERN
Notre Dame Fighting Irish,62,NOTRE DAME - OHIO,NOTRE DAME
Ohio State Buckeyes,69,OHIO STATE,
Oklahoma Sooners,73,OKLAHOMA STATE,OKLAHOMA
Oklahoma State Cowboys,78,OKLAHOMA STATE,
Ole Miss Rebels,50,BOWLING GREEN,MISSISSIPPI
Oregon Ducks,67,OREGON,
Oregon State Beavers,75,OREGON STATE,
Penn State Nittany Lions,59,PENN STATE,
Pittsburgh Panthers,76,PITTSBURG STATE,PITTSBURGH
Purdue Boilermakers,48,PURDUE,
Rice Owls,62,NICHOLS,RICE
Rutgers Scarlet Knights,50,SOUTHERN ARKANSAS,RUTGERS
SMU Mustangs,61,SAM HOUSTON,SOUTHERN METHODIST
San Diego State Aztecs,81,SAN DIEGO STATE,
San Jose State Spartans,76,SAN JOSE STATE,
South Alabama Jaguars,76,SOUTH ALABAMA,
South Carolina Gamecocks,77,SOUTH CAROLINA STATE,SOUTH CAROLINA 
South Florida Bulls,81,SOUTH FLORIDA,
Southern Mississippi Golden Eagles,74,SOUTHERN MISSISSIPPI,
Stanford Cardinal,65,NORTH CAROLINA,STANFORD
Stephen F. Austin Lumberjacks,52,ST. AUGUSTINE,AUSTIN COLLEGE
Syracuse Orange,70,SYRACUSE,
TBD,50,TABOR,
TCU Horned Frogs,47,CHOWAN COLLEGE,TEXAS CHRISTIAN
Temple Owls,71,TEMPLE,
Tennessee Volunteers,71,TENNESSEE TECH,TENNESSEE
Texas A&M Aggies,72,TEXAS A&M,
Texas Longhorns,69,TEXAS LUTHERAN,TEXAS
Texas State Bobcats,68,TEXAS STATE-SAN MARCOS,
Texas Tech Red Raiders,62,TEXAS TECH,
The Citadel Bulldogs,71,THE CITADEL,
Troy Trojans,64,TROY STATE,
Tulane Green Wave,53,BOWLING GREEN,TULANE
Tulsa Golden Hurricane,51,ABILENE CHRISTIAN,TULSA
UAB Blazers,50,BAKER,ALABAMA-BIRMINGHAM
UCF Knights,50,SIENA HEIGHTS,CENTRAL FLORIDA
UCLA Bruins,67,CLARION,U.C.L.A.
UL Monroe Warhawks,59,LA-MONROE,
UNLV Rebels,52,UNC-PEMBROKE,NEVADA-LAS VEGAS
USC Trojans,60,ST.THOMAS,SOUTHERN CALIFORNIA
UTEP Miners,59,BETHEL-MINNESOTA,TEXAS-EL PASO
UTSA Roadrunners,48,ALDERSON-BROADDUS,TEXAS-SAN ANTONIO
Utah State Aggies,74,UTAH STATE,
Utah Utes,74,UTAH STATE,UTAH
Vanderbilt Commodores,65,VANDERBILT,
