teamrankings,match ratio,BPI,corrected BPI
Air Force,100,AIR FORCE,
Akron,100,AKRON,
Alabama,100,ALABAMA,
Arizona,100,ARIZONA,
Arkansas,100,ARKANSAS,
Army,100,ARMY,
Auburn,100,AUBURN,
Ball State,100,BALL STATE,
Baylor,100,BAYLOR,
Buffalo,100,BUFFALO,
California,100,CALIFORNIA,
Cincinnati,100,CINCINNATI,
Clemson,100,CLEMSON,
Colorado,100,COLORADO,
Connecticut,100,CONNECTICUT,
Duke,100,DUKE,
Florida,100,FLORIDA,
Georgia,100,GEORGIA,
Georgia State,100,GEORGIA STATE,
Hawaii,100,HAWAII,
Houston,100,HOUSTON,
Illinois,100,ILLINOIS,
Indiana,100,INDIANA,
Iowa,100,IOWA,
Iowa State,100,IOWA STATE,
Kansas,100,KANSAS,
Kent State,100,KENT STATE,
Kentucky,100,KENTUCKY,
LA Lafayette,100,LA-LAFAYETTE,
LA Monroe,100,LA-MONROE,
Liberty,100,LIBERTY,
Louisville,100,LOUISVILLE,
Marshall,100,MARSHALL,
Maryland,100,MARYLAND,
Memphis,100,MEMPHIS,
Michigan,100,MICHIGAN,
Minnesota,100,MINNESOTA,
Mississippi,100,MISSISSIPPI,
Missouri,100,MISSOURI,
Navy,100,NAVY,
Nebraska,100,NEBRASKA,
Nevada,100,NEVADA,
New Mexico,100,NEW MEXICO,
North Texas,100,NORTH TEXAS,
Northwestern,100,NORTHWESTERN,
Notre Dame,100,NOTRE DAME,
Ohio State,100,OHIO STATE,
Oklahoma,100,OKLAHOMA,
Old Dominion,100,OLD DOMINION,
Oregon,100,OREGON,
Penn State,100,PENN STATE,
Pittsburgh,100,PITTSBURGH,
Purdue,100,PURDUE,
Rice,100,RICE,
Rutgers,100,RUTGERS,
Stanford,100,STANFORD,
Syracuse,100,SYRACUSE,
Temple,100,TEMPLE,
Tennessee,100,TENNESSEE,
Texas,100,TEXAS,
Texas A&M,100,TEXAS A&M,
Texas Tech,100,TEXAS TECH,
Toledo,100,TOLEDO,
Tulane,100,TULANE,
Tulsa,100,TULSA,
Utah,100,UTAH,
Utah State,100,UTAH STATE,
Vanderbilt,100,VANDERBILT,
Virginia,100,VIRGINIA,
Wake Forest,100,WAKE FOREST,
Washington,100,WASHINGTON,
Wisconsin,100,WISCONSIN,
Wyoming,100,WYOMING,
Miami (FL),94,MIAMI-FL,
Bowling Grn,92,BOWLING GREEN,
S Mississippi,92,MISSISSIPPI,SOUTHERN MISSISSIPPI
Boise State,91,BOWIE STATE,BOISE
E Michigan,89,MICHIGAN,EASTERN MICHIGAN
N Illinois,89,ILLINOIS,NORTHERN ILLINOIS
San Diego St,89,SAN DIEGO STATE,
TX Christian,89,TEXAS CHRISTIAN,
W Kentucky,89,KENTUCKY,WESTERN KENTUCKY
W Michigan,89,MICHIGAN,WESTERN MICHIGAN
W Virginia,89,VIRGINIA,WEST VIRGINIA
Arkansas St,88,ARKANSAS STATE,
Colorado St,88,COLORADO STATE,
Michigan St,88,MICHIGAN STATE,
Oklahoma St,88,OKLAHOMA STATE,
S Alabama,88,ALABAMA,SOUTH ALABAMA
S Florida,88,FLORIDA,SOUTH FLORIDA
San Jose St,88,SAN JOSE STATE,
Arizona St,87,ARIZONA STATE,
E Carolina,87,EAST CAROLINA,
Florida St,87,FLORIDA STATE,
S Carolina,87,EAST CAROLINA,SOUTH CAROLINA
TX El Paso,87,TEXAS-EL PASO,
Central Mich,86,CENTRAL MICHIGAN,
Fla Atlantic,86,FLORIDA ATLANTIC,
Fresno St,86,FRESNO STATE,
Kansas St,86,KANSAS STATE,
Oregon St,86,OREGON STATE,
Boston Col,83,BOSTON COLLEGE,
Miss State,83,MISSOURI STATE,MISSISSIPPI STATE
N Carolina,83,NORTH CAROLINA,
Miami (OH),82,MIAMI OF OHIO,
Coastal Car,81,COASTAL CAROLINA,
GA Southern,81,GEORGIA SOUTHERN,
N Mex State,81,NEW MEXICO STATE,
Central FL,80,CENTRAL FLORIDA,
Wash State,80,IOWA STATE,WASHINGTON STATE
NC State,78,KENT STATE,NO. CAROLINA STATE
S Methodist,76,SOUTHERN METHODIST,
Texas State,76,TEXAS TECH,TEXAS STATE-SAN MARCOS
Charlotte,75,UNC - CHARLOTTE,
Florida Intl,75,FLORIDA TECH,FLORIDA INTERNATIONAL
App State,74,BALL STATE,APPALACHIAN STATE
GA Tech,74,GEORGIA TECH,
LA Tech,74,FLORIDA TECH,LOUISIANA TECH
TX-San Ant,74,TEXAS-SAN ANTONIO,
UCLA,73,U.C.L.A.,
VA Tech,71,TEXAS TECH,VIRGINIA TECH
Middle Tenn,67,MIDDLE TENNESSEE STATE,
Ohio,62,OHIO UNIV.,
U Mass,60,DARTMOUTH-MASS.,MASSACHUSETTS
Troy,57,TROY STATE,
UAB,57,UTAH,ALABAMA-BIRMINGHAM
USC,55,TUSCULUM,SOUTHERN CALIFORNIA
BYU,50,BERRY,BRIGHAM YOUNG
LSU,50,LORAS,LOUISIANA STATE
UNLV,50,BUCKNELL,NEVADA-LAS VEGAS
