Index,School,Ranking,Class
1,AIR FORCE,85.6,DIVISION 1  FBS
2,AKRON,50.7,DIVISION 1  FBS
3,ALABAMA,116.5,DIVISION 1  FBS
4,ALABAMA-BIRMINGHAM,77.4,DIVISION 1  FBS
5,APPALACHIAN STATE,92.9,DIVISION 1  FBS
6,ARIZONA,90.1,DIVISION 1  FBS
7,ARIZONA STATE,91.3,DIVISION 1  FBS
8,ARKANSAS,81.3,DIVISION 1  FBS
9,ARKANSAS STATE,72.6,DIVISION 1  FBS
10,ARMY,84.2,DIVISION 1  FBS
11,AUBURN,103.5,DIVISION 1  FBS
12,BALL STATE,73.4,DIVISION 1  FBS
13,BAYLOR,101.4,DIVISION 1  FBS
14,BOISE,95.1,DIVISION 1  FBS
15,BOSTON COLLEGE,85.1,DIVISION 1  FBS
16,BOWLING GREEN,51.1,DIVISION 1  FBS
17,BRIGHAM YOUNG,85.3,DIVISION 1  FBS
18,BUFFALO,75.4,DIVISION 1  FBS
19,CALIFORNIA,91.9,DIVISION 1  FBS
20,CENTRAL FLORIDA,100.1,DIVISION 1  FBS
21,CENTRAL MICHIGAN,76.5,DIVISION 1  FBS
22,CINCINNATI,101.2,DIVISION 1  FBS
23,CLEMSON,114.9,DIVISION 1  FBS
24,COASTAL CAROLINA,76.3,DIVISION 1  FBS
25,COLORADO,86.7,DIVISION 1  FBS
26,COLORADO STATE,73.3,DIVISION 1  FBS
27,CONNECTICUT,56.8,DIVISION 1  FBS
28,DUKE,95.8,DIVISION 1  FBS
29,EAST CAROLINA,71.0,DIVISION 1  FBS
30,EASTERN MICHIGAN,64.7,DIVISION 1  FBS
31,FLORIDA,110.7,DIVISION 1  FBS
32,FLORIDA ATLANTIC,81.9,DIVISION 1  FBS
33,FLORIDA INTERNATIONAL,75.9,DIVISION 1  FBS
34,FLORIDA STATE,90.8,DIVISION 1  FBS
35,FRESNO STATE,88.0,DIVISION 1  FBS
36,GEORGIA,113.8,DIVISION 1  FBS
37,GEORGIA SOUTHERN,74.6,DIVISION 1  FBS
38,GEORGIA STATE,69.7,DIVISION 1  FBS
39,GEORGIA TECH,76.2,DIVISION 1  FBS
40,HAWAII,88.3,DIVISION 1  FBS
41,HOUSTON,89.4,DIVISION 1  FBS
42,ILLINOIS,77.5,DIVISION 1  FBS
43,INDIANA,89.2,DIVISION 1  FBS
44,IOWA,105.9,DIVISION 1  FBS
45,IOWA STATE,105.9,DIVISION 1  FBS
46,KANSAS,83.0,DIVISION 1  FBS
47,KANSAS STATE,94.3,DIVISION 1  FBS
48,KENT STATE,72.0,DIVISION 1  FBS
49,KENTUCKY,89.7,DIVISION 1  FBS
50,LA-LAFAYETTE,92.6,DIVISION 1  FBS
51,LA-MONROE,69.4,DIVISION 1  FBS
52,LIBERTY,72.6,DIVISION 1  FBS
53,LOUISIANA STATE,114.4,DIVISION 1  FBS
54,LOUISIANA TECH,77.3,DIVISION 1  FBS
55,LOUISVILLE,81.7,DIVISION 1  FBS
56,MARSHALL,72.8,DIVISION 1  FBS
57,MARYLAND,94.0,DIVISION 1  FBS
58,MASSACHUSETTS,45.3,DIVISION 1  FBS
59,MEMPHIS,91.8,DIVISION 1  FBS
60,MIAMI OF OHIO,76.6,DIVISION 1  FBS
61,MIAMI-FL,85.3,DIVISION 1  FBS
62,MICHIGAN,107.1,DIVISION 1  FBS
63,MICHIGAN STATE,100.7,DIVISION 1  FBS
64,MIDDLE TENNESSEE STATE,75.1,DIVISION 1  FBS
65,MINNESOTA,95.1,DIVISION 1  FBS
66,MISSISSIPPI,90.6,DIVISION 1  FBS
67,MISSISSIPPI STATE,96.9,DIVISION 1  FBS
68,MISSOURI,109.9,DIVISION 1  FBS
69,NAVY,88.0,DIVISION 1  FBS
70,NEBRASKA,91.2,DIVISION 1  FBS
71,NEVADA,59.5,DIVISION 1  FBS
72,NEVADA-LAS VEGAS,66.4,DIVISION 1  FBS
