abbr team,match ratio,stats team,corrected stats team,abbreviation,corrected abbr
ALABAMA-BIRMINGHAM,100,ALABAMA-BIRMINGHAM,,UAB,
Abilene Christian,100,ABILENE CHRISTIAN,,ACU,
Air Force,100,AIR FORCE,,AFA,
Akron,100,AKRON,,AKR,
Alabama,100,ALABAMA,,ALA,
Alabama A&M,100,ALABAMA A&M,,AAMU,
Alabama State,100,ALABAMA STATE,,ALST,
Alcorn State,100,ALCORN STATE,,ALCN,
Appalachian State,100,APPALACHIAN STATE,,APP,
Arizona,100,ARIZONA,,ARIZ,
Arizona State,100,ARIZONA STATE,,ASU,
Arkansas,100,ARKANSAS,,ARK,
Arkansas State,100,ARKANSAS STATE,,ARST,ARKST
Army,100,ARMY,,ARMY,
Auburn,100,AUBURN,,AUB,
Austin Peay,100,AUSTIN PEAY,,PEAY,
Ball State,100,BALL STATE,,BALL,
Baylor,100,BAYLOR,,BAY,
Bethune-Cookman,100,BETHUNE-COOKMAN,,COOK,
Boston College,100,BOSTON COLLEGE,,BC,
Bowling Green,100,BOWLING GREEN,,BGSU,
Brown,100,BROWN,,BRWN,
Bucknell,100,BUCKNELL,,BUCK,
Buffalo,100,BUFFALO,,BUFF,
Butler,100,BUTLER,,BUT,
Campbell,100,CAMPBELL,,CAMP,
Central Arkansas,100,CENTRAL ARKANSAS,,UCA,
Central Michigan,100,CENTRAL MICHIGAN,,CMU,
Charleston Southern,100,CHARLESTON SOUTHERN,,CHSO,
Cincinnati,100,CINCINNATI,,CIN,
Clemson,100,CLEMSON,,CLEM,
Coastal Carolina,100,COASTAL CAROLINA,,CCAR,CCU
Colgate,100,COLGATE,,COLG,
Colorado,100,COLORADO,,COLO,
Colorado State,100,COLORADO STATE,,CSU,
Columbia,100,COLUMBIA,,CLMB,
Cornell,100,CORNELL,,COR,
Dartmouth,100,DARTMOUTH,,DART,
Davidson,100,DAVIDSON,,DAV,
Dayton,100,DAYTON,,DAY,
Delaware,100,DELAWARE,,DEL,
Delaware State,100,DELAWARE STATE,,DSU,
Drake,100,DRAKE,,DRKE,
Duke,100,DUKE,,DUKE,
Duquesne,100,DUQUESNE,,DUQ,
Eastern Illinois,100,EASTERN ILLINOIS,,EIU,
Eastern Kentucky,100,EASTERN KENTUCKY,,EKY,
Eastern Michigan,100,EASTERN MICHIGAN,,EMU,
Eastern Washington,100,EASTERN WASHINGTON,,EWU,
Elon,100,ELON,,ELON,
Florida,100,FLORIDA,,FLA,
Florida A&M,100,FLORIDA A&M,,FAMU,
Florida State,100,FLORIDA STATE,,FSU,
Fordham,100,FORDHAM,,FOR,
Fresno State,100,FRESNO STATE,,FRES,
Furman,100,FURMAN,,FUR,
Gardner-Webb,100,GARDNER-WEBB,,WEBB,
Georgia,100,GEORGIA,,UGA,
Georgia Southern,100,GEORGIA SOUTHERN,,GASO,
Georgia State,100,GEORGIA STATE,,GAST,
Georgia Tech,100,GEORGIA TECH,,GT,
Hampton,100,HAMPTON,,HAMP,
Harvard,100,HARVARD,,HARV,
Hawaii,100,HAWAII,,HAW,
Holy Cross,100,HOLY CROSS,,HC,
Houston,100,HOUSTON,,HOU,
Houston Baptist,100,HOUSTON BAPTIST,,HBU,
Howard,100,HOWARD,,HOW,
Idaho,100,IDAHO,,IDHO,IDAHO
Idaho State,100,IDAHO STATE,,IDST,
Illinois,100,ILLINOIS,,ILL,
Illinois State,100,ILLINOIS STATE,,ILST,
Incarnate Word,100,INCARNATE WORD,,IW,
Indiana,100,INDIANA,,IND,
Indiana State,100,INDIANA STATE,,INST,
Iowa,100,IOWA,,IOWA,
Iowa State,100,IOWA STATE,,ISU,
Jackson State,100,JACKSON STATE,,JKST,
Jacksonville State,100,JACKSONVILLE STATE,,JVST,
James Madison,100,JAMES MADISON,,JMU,
Kansas,100,KANSAS,,KU,
Kansas State,100,KANSAS STATE,,KSU,
Kennesaw State,100,KENNESAW STATE,,KENN,
Kent State,100,KENT STATE,,KENT,
Kentucky,100,KENTUCKY,,UK,
LOUISIANA COLLEGE,100,LOUISIANA COLLEGE,,LC,
Lafayette,100,LAFAYETTE,,LAF,
Lamar,100,LAMAR,,LAM,
Lehigh,100,LEHIGH,,LEH,
Liberty,100,LIBERTY,,LIB,
Louisiana Tech,100,LOUISIANA TECH,,LT,
Louisville,100,LOUISVILLE,,LOU,
Maine,100,MAINE,,MAINE,
Marist,100,MARIST,,MRST,
Marshall,100,MARSHALL,,MRSH,
Maryland,100,MARYLAND,,UMD,MD
McNeese State,100,MCNEESE STATE,,MCNS,
Memphis,100,MEMPHIS,,MEM,
Mercer,100,MERCER,,MER,
Michigan,100,MICHIGAN,,MICH,
Michigan State,100,MICHIGAN STATE,,MSU,
Minnesota,100,MINNESOTA,,MINN,
Mississippi State,100,MISSISSIPPI STATE,,MSST,
Mississippi Valley State,100,MISSISSIPPI VALLEY STATE,,MVSU,
Missouri,100,MISSOURI,,MIZ,
Missouri State,100,MISSOURI STATE,,MOST,
Montana,100,MONTANA,,MONT,
Montana State,100,MONTANA STATE,,MTST,
Morehead State,100,MOREHEAD STATE,,MORE,
Morgan State,100,MORGAN STATE,,MORG,
Murray State,100,MURRAY STATE,,MURR,
Navy,100,NAVY,,NAVY,
Nebraska,100,NEBRASKA,,NEB,
Nevada,100,NEVADA,,NEV,
New Hampshire,100,NEW HAMPSHIRE,,UNH,
New Mexico,100,NEW MEXICO,,UNM,
New Mexico State,100,NEW MEXICO STATE,,NMSU,
Nicholls State,100,NICHOLLS STATE,,NICH,
Norfolk State,100,NORFOLK STATE,,NORF,
North Carolina,100,NORTH CAROLINA,,UNC,
North Carolina A&T,100,NORTH CAROLINA A&T,,NCAT,
North Dakota,100,NORTH DAKOTA,,UND,
North Dakota State,100,NORTH DAKOTA STATE,,NDSU,
North Texas,100,NORTH TEXAS,,UNT,
Northern Arizona,100,NORTHERN ARIZONA,,NAU,
Northern Colorado,100,NORTHERN COLORADO,,UNCO,
Northern Illinois,100,NORTHERN ILLINOIS,,NIU,
Northern Iowa,100,NORTHERN IOWA,,UNI,
Northwestern,100,NORTHWESTERN,,NW,
Notre Dame,100,NOTRE DAME,,ND,
Ohio State,100,OHIO STATE,,OSU,
Oklahoma,100,OKLAHOMA,,OKLA,
Oklahoma State,100,OKLAHOMA STATE,,OKST,
Old Dominion,100,OLD DOMINION,,ODU,
Oregon,100,OREGON,,ORE,
Oregon State,100,OREGON STATE,,ORST,
Penn State,100,PENN STATE,,PSU,
Pittsburgh,100,PITTSBURGH,,PITT,
