Index,BPI,teamrankings,Ranking,Class,PLpG3,PTpP3,OPLpG3,OPTpP3
1,AIR FORCE,Air Force,83.0,DIVISION 1  FBS,--,--,--,--
2,AKRON,Akron,68.2,DIVISION 1  FBS,--,--,--,--
3,ALABAMA,Alabama,117.4,DIVISION 1  FBS,--,--,--,--
4,ALABAMA-BIRMINGHAM,UAB,86.5,DIVISION 1  FBS,--,--,--,--
5,APPALACHIAN STATE,App State,95.3,DIVISION 1  FBS,--,--,--,--
6,ARIZONA,Arizona,87.7,DIVISION 1  FBS,73.0,0.521,45.0,0.570
7,ARIZONA STATE,Arizona St,92.6,DIVISION 1  FBS,--,--,--,--
8,ARKANSAS,Arkansas,78.6,DIVISION 1  FBS,--,--,--,--
9,ARKANSAS STATE,Arkansas St,84.2,DIVISION 1  FBS,--,--,--,--
10,ARMY,Army,97.3,DIVISION 1  FBS,--,--,--,--
11,AUBURN,Auburn,106.0,DIVISION 1  FBS,--,--,--,--
12,BALL STATE,Ball State,65.2,DIVISION 1  FBS,--,--,--,--
13,BAYLOR,Baylor,92.4,DIVISION 1  FBS,--,--,--,--
14,BOISE,Boise State,97.5,DIVISION 1  FBS,--,--,--,--
15,BOSTON COLLEGE,Boston Col,93.2,DIVISION 1  FBS,--,--,--,--
16,BOWLING GREEN,Bowling Grn,63.0,DIVISION 1  FBS,--,--,--,--
17,BRIGHAM YOUNG,BYU,90.8,DIVISION 1  FBS,--,--,--,--
18,BUFFALO,Buffalo,81.6,DIVISION 1  FBS,--,--,--,--
19,CALIFORNIA,California,89.7,DIVISION 1  FBS,--,--,--,--
20,CENTRAL FLORIDA,Central FL,100.9,DIVISION 1  FBS,--,--,--,--
21,CENTRAL MICHIGAN,Central Mich,62.9,DIVISION 1  FBS,--,--,--,--
22,CINCINNATI,Cincinnati,96.6,DIVISION 1  FBS,--,--,--,--
23,CLEMSON,Clemson,128.7,DIVISION 1  FBS,--,--,--,--
24,COASTAL CAROLINA,Coastal Car,61.9,DIVISION 1  FBS,--,--,--,--
25,COLORADO,Colorado,81.7,DIVISION 1  FBS,--,--,--,--
26,COLORADO STATE,Colorado St,71.0,DIVISION 1  FBS,--,--,--,--
27,CONNECTICUT,Connecticut,54.2,DIVISION 1  FBS,--,--,--,--
28,DUKE,Duke,89.0,DIVISION 1  FBS,--,--,--,--
29,EAST CAROLINA,E Carolina,65.7,DIVISION 1  FBS,--,--,--,--
30,EASTERN MICHIGAN,E Michigan,81.4,DIVISION 1  FBS,--,--,--,--
31,FLORIDA,Florida,106.2,DIVISION 1  FBS,55.0,0.436,20.0,0.263
32,FLORIDA ATLANTIC,Fla Atlantic,79.3,DIVISION 1  FBS,--,--,--,--
33,FLORIDA INTERNATIONAL,Florida Intl,79.7,DIVISION 1  FBS,--,--,--,--
34,FLORIDA STATE,Florida St,84.8,DIVISION 1  FBS,--,--,--,--
35,FRESNO STATE,Fresno St,97.8,DIVISION 1  FBS,--,--,--,--
36,GEORGIA,Georgia,109.2,DIVISION 1  FBS,--,--,--,--
37,GEORGIA SOUTHERN,GA Southern,80.9,DIVISION 1  FBS,--,--,--,--
38,GEORGIA STATE,Georgia State,64.5,DIVISION 1  FBS,--,--,--,--
39,GEORGIA TECH,GA Tech,89.6,DIVISION 1  FBS,--,--,--,--
40,HAWAII,Hawaii,69.1,DIVISION 1  FBS,79.0,0.570,38.0,0.521
41,HOUSTON,Houston,79.0,DIVISION 1  FBS,--,--,--,--
42,ILLINOIS,Illinois,74.1,DIVISION 1  FBS,--,--,--,--
43,INDIANA,Indiana,89.5,DIVISION 1  FBS,--,--,--,--
44,IOWA,Iowa,107.8,DIVISION 1  FBS,--,--,--,--
45,IOWA STATE,Iowa State,94.6,DIVISION 1  FBS,--,--,--,--
46,KANSAS,Kansas,88.0,DIVISION 1  FBS,--,--,--,--
47,KANSAS STATE,Kansas St,95.3,DIVISION 1  FBS,--,--,--,--
48,KENT STATE,Kent State,64.2,DIVISION 1  FBS,--,--,--,--
49,KENTUCKY,Kentucky,99.1,DIVISION 1  FBS,--,--,--,--
50,LA-LAFAYETTE,LA Lafayette,74.6,DIVISION 1  FBS,--,--,--,--
51,LA-MONROE,LA Monroe,72.7,DIVISION 1  FBS,--,--,--,--
52,LIBERTY,Liberty,66.1,DIVISION 1  FBS,--,--,--,--
53,LOUISIANA STATE,LSU,102.3,DIVISION 1  FBS,--,--,--,--
54,LOUISIANA TECH,LA Tech,75.0,DIVISION 1  FBS,--,--,--,--
55,LOUISVILLE,Louisville,64.2,DIVISION 1  FBS,--,--,--,--
56,MARSHALL,Marshall,81.4,DIVISION 1  FBS,--,--,--,--
57,MARYLAND,Maryland,88.1,DIVISION 1  FBS,--,--,--,--
58,MASSACHUSETTS,U Mass,66.5,DIVISION 1  FBS,--,--,--,--
59,MEMPHIS,Memphis,93.1,DIVISION 1  FBS,--,--,--,--
60,MIAMI OF OHIO,Miami (OH),85.6,DIVISION 1  FBS,--,--,--,--
61,MIAMI-FL,Miami (FL),92.7,DIVISION 1  FBS,76.0,0.263,24.0,0.436
62,MICHIGAN,Michigan,100.0,DIVISION 1  FBS,--,--,--,--
63,MICHIGAN STATE,Michigan St,95.4,DIVISION 1  FBS,--,--,--,--
64,MIDDLE TENNESSEE STATE,Middle Tenn,80.8,DIVISION 1  FBS,--,--,--,--
65,MINNESOTA,Minnesota,96.6,DIVISION 1  FBS,--,--,--,--
66,MISSISSIPPI,Mississippi,84.5,DIVISION 1  FBS,--,--,--,--
67,MISSISSIPPI STATE,Miss State,108.5,DIVISION 1  FBS,--,--,--,--
68,MISSOURI,Missouri,105.4,DIVISION 1  FBS,--,--,--,--
69,NAVY,Navy,78.7,DIVISION 1  FBS,--,--,--,--
70,NEBRASKA,Nebraska,94.8,DIVISION 1  FBS,--,--,--,--
71,NEVADA,Nevada,82.7,DIVISION 1  FBS,--,--,--,--
72,NEVADA-LAS VEGAS,UNLV,71.4,DIVISION 1  FBS,--,--,--,--
73,NEW MEXICO,New Mexico,66.5,DIVISION 1  FBS,--,--,--,--
74,NEW MEXICO STATE,N Mex State,56.6,DIVISION 1  FBS,--,--,--,--
75,NO. CAROLINA STATE,NC State,94.0,DIVISION 1  FBS,--,--,--,--
