Index,Team,PLpG3,PTpP3,OPLpG3,OPTpP3
1,Hawaii,79.0,0.570,38.0,0.521
2,Miami (FL),76.0,0.263,24.0,0.436
3,Arizona,73.0,0.521,45.0,0.570
4,Florida,55.0,0.436,20.0,0.263
5,San Diego St,--,--,--,--
6,Wyoming,--,--,--,--
7,Army,--,--,--,--
8,Colorado St,--,--,--,--
9,BYU,--,--,--,--
10,Stanford,--,--,--,--
11,Washington,--,--,--,--
12,Arizona St,--,--,--,--
13,California,--,--,--,--
14,Wash State,--,--,--,--
15,USC,--,--,--,--
16,Oregon St,--,--,--,--
17,Utah,--,--,--,--
18,UNLV,--,--,--,--
19,Houston,--,--,--,--
20,S Florida,--,--,--,--
21,Louisville,--,--,--,--
22,S Mississippi,--,--,--,--
23,Tulane,--,--,--,--
24,LA Monroe,--,--,--,--
25,LA Lafayette,--,--,--,--
26,Utah State,--,--,--,--
27,Troy,--,--,--,--
28,Middle Tenn,--,--,--,--
29,North Texas,--,--,--,--
30,N Mex State,--,--,--,--
31,Arkansas St,--,--,--,--
32,Air Force,--,--,--,--
33,New Mexico,--,--,--,--
34,Oregon,--,--,--,--
35,UCLA,--,--,--,--
36,Clemson,--,--,--,--
37,U Mass,--,--,--,--
38,App State,--,--,--,--
39,Florida Intl,--,--,--,--
40,Texas State,--,--,--,--
41,Fla Atlantic,--,--,--,--
42,W Kentucky,--,--,--,--
43,GA Southern,--,--,--,--
44,Liberty,--,--,--,--
45,Coastal Car,--,--,--,--
46,Georgia State,--,--,--,--
47,S Alabama,--,--,--,--
48,TX-San Ant,--,--,--,--
49,Old Dominion,--,--,--,--
50,Syracuse,--,--,--,--
51,Connecticut,--,--,--,--
52,W Virginia,--,--,--,--
53,Florida St,--,--,--,--
54,Virginia,--,--,--,--
55,Wake Forest,--,--,--,--
56,Duke,--,--,--,--
57,NC State,--,--,--,--
58,N Carolina,--,--,--,--
59,Maryland,--,--,--,--
60,VA Tech,--,--,--,--
61,GA Tech,--,--,--,--
62,Temple,--,--,--,--
63,Pittsburgh,--,--,--,--
64,Boston Col,--,--,--,--
65,Rutgers,--,--,--,--
66,Charlotte,--,--,--,--
67,W Michigan,--,--,--,--
68,Tulsa,--,--,--,--
69,Rice,--,--,--,--
70,LA Tech,--,--,--,--
71,TX El Paso,--,--,--,--
72,S Methodist,--,--,--,--
73,Fresno St,--,--,--,--
74,Navy,--,--,--,--
75,Notre Dame,--,--,--,--
76,Vanderbilt,--,--,--,--
77,Georgia,--,--,--,--
78,S Carolina,--,--,--,--
79,Kentucky,--,--,--,--
80,Tennessee,--,--,--,--
81,LSU,--,--,--,--
82,San Jose St,--,--,--,--
83,Boise State,--,--,--,--
84,N Illinois,--,--,--,--
85,E Michigan,--,--,--,--
86,Ball State,--,--,--,--
87,Toledo,--,--,--,--
88,Bowling Grn,--,--,--,--
89,Central Mich,--,--,--,--
90,Miami (OH),--,--,--,--
91,Ohio,--,--,--,--
92,Akron,--,--,--,--
93,Buffalo,--,--,--,--
94,Marshall,--,--,--,--
95,Central FL,--,--,--,--
96,Kent State,--,--,--,--
97,Nevada,--,--,--,--
98,Alabama,--,--,--,--
99,Auburn,--,--,--,--
100,Missouri,--,--,--,--
101,Colorado,--,--,--,--
102,Nebraska,--,--,--,--
103,Kansas,--,--,--,--
104,Texas,--,--,--,--
105,Texas A&M,--,--,--,--
106,Texas Tech,--,--,--,--
107,Oklahoma,--,--,--,--
108,Baylor,--,--,--,--
109,Oklahoma St,--,--,--,--
110,E Carolina,--,--,--,--
111,TX Christian,--,--,--,--
112,Memphis,--,--,--,--
113,UAB,--,--,--,--
114,Kansas St,--,--,--,--
115,Iowa State,--,--,--,--
116,Mississippi,--,--,--,--
117,Arkansas,--,--,--,--
118,Miss State,--,--,--,--
119,Wisconsin,--,--,--,--
120,Ohio State,--,--,--,--
121,Indiana,--,--,--,--
122,Northwestern,--,--,--,--
123,Michigan St,--,--,--,--
124,Minnesota,--,--,--,--
125,Michigan,--,--,--,--
126,Purdue,--,--,--,--
127,Penn State,--,--,--,--
128,Illinois,--,--,--,--
129,Iowa,--,--,--,--
130,Cincinnati,--,--,--,--
